# x_m,y_m,w_tr_right_m,w_tr_left_m,v,theta
9.084230194766402,5.166335710616536,1.5,1.5,2,0
9.084170598067695,5.3531358158965965,1.5,1.5,2,0
9.08411100136899,5.539935921176657,1.5,1.5,2,0
9.07101839097589,5.726276647904266,1.5,1.5,2,0
9.057925780582792,5.912617374631876,1.5,1.5,2,0
9.031863968279977,6.097590520854873,1.5,1.5,2,0
9.005802155977157,6.28256366707787,1.5,1.5,2,0
8.966898163855996,6.4652676962645295,1.5,1.5,2,0
8.92799417173483,6.647971725451189,1.5,1.5,2,0
8.876437613103278,6.82751616046918,1.5,1.5,2,0
8.824881054471724,7.007060595487172,1.5,1.5,2,0
8.76092320970219,7.182570358680394,1.5,1.5,2,0
8.696965364932653,7.358080121873613,1.5,1.5,2,0
8.620917956752127,7.528699800083896,1.5,1.5,2,0
8.544870548571593,7.699319478294175,1.5,1.5,2,0
8.45710422276315,7.864217492040386,1.5,1.5,2,0
8.369337896954699,8.029115505786596,1.5,1.5,2,0
8.270280415875188,8.187488162282266,1.5,1.5,2,0
8.17122293479568,8.345860818777933,1.5,1.5,2,0
8.061357092514243,8.496936229028869,1.5,1.5,2,0
7.9514912502328,8.648011639279808,1.5,1.5,2,0
7.831352519451491,8.791053480187927,1.5,1.5,2,0
7.711213788670184,8.934095321096045,1.5,1.5,2,0
7.581387710895429,9.068406424165577,1.5,1.5,2,0
7.451561633120674,9.202717527235102,1.5,1.5,2,0
7.312680964805429,9.327643276650829,1.5,1.5,2,0
7.17380029649018,9.452569026066552,1.5,1.5,2,0
7.02654192505624,9.567500548580632,1.5,1.5,2,0
6.879283553622299,9.682432071094714,1.5,1.5,2,0
6.724365198393633,9.786809206022806,1.5,1.5,2,0
6.569446843164968,9.891186340950895,1.5,1.5,2,0
6.407623557291387,9.984500361032234,1.5,1.5,2,0
6.245800271417807,10.077814381113573,1.5,1.5,2,0
6.07786076183805,10.1596105076249,1.5,1.5,2,0
5.909921252258295,10.241406634136236,1.5,1.5,2,0
5.736684035638753,10.311286116868212,1.5,1.5,2,0
5.563446819019212,10.381165599600193,1.5,1.5,2,0
5.385756232403573,10.43878818322808,1.5,1.5,2,0
5.208065645787933,10.49641076685597,1.5,1.5,2,0
5.026787731401551,10.54149434823988,1.5,1.5,2,0
4.84550981701517,10.586577929623784,1.5,1.5,2,0
4.661528101280988,10.618907585792371,1.5,1.5,2,0
4.477546385546805,10.65123724196096,1.5,1.5,2,0
4.291757572885411,10.670637025250944,1.5,1.5,2,0
4.105968760224017,10.690036808540928,1.5,1.5,2,0
3.919278362625808,10.696482365239886,1.5,1.5,2,0
3.732587965027598,10.70292792193884,1.5,1.5,2,0
3.545905888697858,10.709524439203502,1.5,1.5,2,0
3.3592238123681177,10.716120956468158,1.5,1.5,2,0
3.173459922955297,10.735781188057851,1.5,1.5,2,0
2.987696033542476,10.755441419647546,1.5,1.5,2,0
2.8037557215640674,10.78799958242642,1.5,1.5,2,0
2.619815409585659,10.820557745205292,1.5,1.5,2,0
2.438595177665377,10.865874304813158,1.5,1.5,2,0
2.257374945745095,10.911190864421016,1.5,1.5,2,0
2.079758039168528,10.969039714036494,1.5,1.5,2,0
1.9021411325919608,11.026888563651976,1.5,1.5,2,0
1.7289932344768957,11.096989187913504,1.5,1.5,2,0
1.5558453363618303,11.167089812175032,1.5,1.5,2,0
1.3880103484243804,11.249100157506769,1.5,1.5,2,0
1.2201753604869303,11.3311105028385,1.5,1.5,2,0
1.0584712899678124,11.424630967859644,1.5,1.5,2,0
0.8967672194486943,11.518151432880794,1.5,1.5,2,0
0.7419821922449065,11.62272618102784,1.5,1.5,2,0
0.5871971650411183,11.727300929174886,1.5,1.5,2,0
0.4400855844800145,11.842420283874784,1.5,1.5,2,0
0.2929740039189105,11.957539638574682,1.5,1.5,2,0
0.1542528738753288,12.082642519968696,1.5,1.5,2,0
0.0155317438317474,12.207745401362711,1.5,1.5,2,0
-0.1141228258114636,12.342222073874009,1.5,1.5,2,0
-0.2437773954546748,12.476698746385305,1.5,1.5,2,0
-0.3637334842730639,12.61989378697091,1.5,1.5,2,0
-0.4836895730914534,12.763088827556516,1.5,1.5,2,0
